"protocol","readout","SID","CCLASS","CCLASS2","LAC50","HILL","INF","ZERO","MAXR","NPT","FAUC","TAUC","DATA0","DATA1","DATA2","DATA3","DATA4","DATA5","DATA6","DATA7","DATA8","DATA9","DATA10","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","name","target","smi"
"s-tum-LineH_8-x1-1","activity","CX0030",1.3,-1.4,-8.7292094394,4.0949729863,120.293195624,157.229164696,118.06950118,11,591.8394610197,610.677510405498,156.28366083,130.3983401,122.38246022,166.69075443,128.57891571,110.73869949,114.18394374,123.62648557,130.51162894,115.63261094,118.06950118,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-1","POLR2A",NA
"s-tum-LineH_8-x1-1","activity","CX0050",4,-2.1,-4.9292094394,0.7999999999,-34.532527719,146.2193704196,8.08278975,11,561.3521763502,563.042197735806,139.7028481,145.90544165,156.67427069,132.99604687,170.99584774,143.05959883,104.1089294,101.41136822,116.9029801,34.13395819,8.08278975,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-2","JAK1",NA
"s-tum-LineH_8-x1-1","activity","CX0058",5,4,NA,NA,NA,NA,84.6516999,11,NA,550.760220924497,100.26574011,115.52439513,94.30376904,143.30665583,125.25423305,112.51010165,101.05735387,140.39864634,91.47985834,138.04593,84.6516999,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-3","PLK1",NA
"s-tum-LineH_8-x1-1","activity","CX0051",4,-2.3,-4.5292094394,4.9549173134,15.2301391609,150.9239381,28.59079521,11,689.5299354719,673.318446275144,164.9240202,134.92624767,115.09713746,112.58951121,139.81229311,168.59161621,135.1901127,216.83180943,145.53058001,145.88300571,28.59079521,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-4","ERN1",NA
"s-tum-LineH_8-x1-1","activity","CX0065",4,-1.3,-5.2292094394,3.1319983358,7.6356670708,136.0991546318,9.65778974,11,535.4233367591,583.574985494631,96.68129667,148.96795867,201.9400237,93.19607103,129.81536851,135.28224002,215.27513363,147.2838255,87.21566878,10.97004886,9.65778974,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-5","IDH1",NA
