"protocol","readout","SID","CCLASS","CCLASS2","LAC50","HILL","INF","ZERO","MAXR","NPT","FAUC","TAUC","DATA0","DATA1","DATA2","DATA3","DATA4","DATA5","DATA6","DATA7","DATA8","DATA9","DATA10","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","name","target","smi"
"s-tum-LineG_7-x1-1","activity","CX0030",2.3,-3,-4.4792094394,4.5044702849,51.0003609804,103.961065827,60.83431635,11,649.120189625511,467.523726723243,108.75292688,90.69786487,107.64127915,96.55285359,96.11641175,106.67190773,94.85619997,105.9795938,94.13844581,102.43587093,60.83431635,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-1","POLR2A",NA
"s-tum-LineG_7-x1-1","activity","CX0050",2.3,3,-4.4792094394,4.9549173134,139.152810093,102.6843185484,134.4230835,11,680.616977439064,513.663035926258,127.24115557,99.10494446,93.23027338,115.84786277,86.18999304,147.49097846,99.90652885,115.06111646,90.90592203,98.01785742,134.4230835,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-2","JAK1",NA
"s-tum-LineG_7-x1-1","activity","CX0058",1.3,1.4,-7.0292094394,4.9549173134,118.8268267115,101.1035351884,106.16035268,11,707.244114343421,525.200823319476,109.45422779,90.31115212,92.53332299,115.85969424,98.64696788,132.79514493,102.85193168,125.85402237,108.03518827,126.07499202,106.16035268,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-3","PLK1",NA
"s-tum-LineG_7-x1-1","activity","CX0051",1.3,4,-6.2292094394,4.9549173134,108.53401877,100.442596654,109.61674258,11,667.65872389809,493.697155241017,102.53401877,103.46988933,101.92396098,101.40452438,98.57445157,95.37450034,104.31600335,112.21699992,103.72831464,107.65697425,109.61674258,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-4","ERN1",NA
"s-tum-LineG_7-x1-1","activity","CX0065",2.3,4,-4.7292094394,4.5044702849,81.444913264,108.33191234,82.73910213,11,682.299695570586,507.15710676234,108.06160136,103.71506853,92.06837961,107.2852743,125.03599233,105.85265756,105.80281613,113.63671995,113.61932985,100.53517948,82.73910213,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-5","IDH1",NA
