"protocol","readout","SID","CCLASS","CCLASS2","LAC50","HILL","INF","ZERO","MAXR","NPT","FAUC","TAUC","DATA0","DATA1","DATA2","DATA3","DATA4","DATA5","DATA6","DATA7","DATA8","DATA9","DATA10","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","name","target","smi"
"s-tum-LineB_2-x1-1","activity","CX0030",1.3,-1.4,-7.4292094394,4.9549173134,72.574560708,101.900623294,71.32979477,11,397.9712554838,396.867489151699,98.20690713,104.11200648,101.58328594,101.2884525,72.52408998,72.40441225,90.97431546,89.74424589,66.40990473,47.98632976,71.32979477,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-1","POLR2A",NA
"s-tum-LineB_2-x1-1","activity","CX0050",4,-2.1,-5.7792094394,0.6,5.964042465,122.1746500225,71.65052996,11,405.7708648719,409.893474530064,88.39011693,120.81511192,117.51426139,112.60130436,122.76803161,80.4540044,78.46678014,75.71474716,43.1120451,27.62989924,71.65052996,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-2","JAK1",NA
"s-tum-LineB_2-x1-1","activity","CX0058",4,-1.1,-5.5292094394,2.3331733767,4.3787538581,98.4541292207,2.5345507,11,357.6548615489,360.849772855889,84.05988119,117.97535965,101.14210047,81.25153496,85.76271202,127.70192488,88.58700353,77.99308652,23.06884217,9.52590417,2.5345507,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-3","PLK1",NA
"s-tum-LineB_2-x1-1","activity","CX0051",5,4,NA,NA,NA,NA,87.61612358,11,NA,455.365894527119,101.78776014,93.17819576,88.44266223,117.13268446,89.5495774,86.83102012,111.25818746,88.60422013,86.34442723,98.35953902,87.61612358,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-4","ERN1",NA
"s-tum-LineB_2-x1-1","activity","CX0065",1.3,1.4,-7.4292094394,4.9549173134,126.6073460465,105.312049971,91.35191667,11,572.8796367339,555.976811115795,120.14357958,115.48392786,93.59975163,91.71513924,140.99046857,139.1953242,118.61900656,136.46662403,117.30223503,106.15286692,91.35191667,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-5","IDH1",NA
