"protocol","readout","SID","CCLASS","CCLASS2","LAC50","HILL","INF","ZERO","MAXR","NPT","FAUC","TAUC","DATA0","DATA1","DATA2","DATA3","DATA4","DATA5","DATA6","DATA7","DATA8","DATA9","DATA10","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","name","target","smi"
"s-tum-LineJ_10-x1-1","activity","CX0030",1.3,-2.3,-5.7792094394,0.3,66.3764870616,171.7640120749,102.39867072,11,637.331986368,662.014632327299,161.11016954,166.41689272,217.5061138,156.43403177,123.42157915,122.93436962,127.67630028,153.33034414,108.54996411,79.49374342,102.39867072,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-1","POLR2A",NA
"s-tum-LineJ_10-x1-1","activity","CX0050",1.3,2.4,-6.1792094394,0.2,170.8189538695,91.294903013,161.69440876,11,609.0393845281,624.961099285766,97.82236495,122.14925831,111.68265902,165.01122812,106.28583445,135.49959248,163.09698432,127.09652789,110.65552766,138.62149121,161.69440876,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-2","JAK1",NA
"s-tum-LineJ_10-x1-1","activity","CX0058",1.3,-2.1,-4.8792094394,0.6999999999,23.1401049929,181.9212603707,58.95384463,11,749.053560769,751.987695356174,167.00826124,175.89887828,200.98240778,178.93560073,190.39489047,163.59812345,180.39115476,122.44523919,140.85859397,109.60664883,58.95384463,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-3","PLK1",NA
"s-tum-LineJ_10-x1-1","activity","CX0051",4,-1.1,-6.7792094394,2.1210667061,26.2791191691,150.5114173396,17.72300472,11,415.5393823141,418.518016979065,141.43026295,139.79380337,153.32801264,169.07557788,133.85389941,78.59015874,37.84076763,29.41464702,26.958713,28.74040942,17.72300472,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-4","ERN1",NA
"s-tum-LineJ_10-x1-1","activity","CX0065",5,4,NA,NA,NA,NA,187.61107838,11,NA,880.419323111818,169.66305695,165.67423406,237.00746701,155.96733689,179.80362193,172.07650642,183.77952249,196.71614924,224.99026621,150.62063419,187.61107838,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-5","IDH1",NA
