"protocol","readout","SID","CCLASS","CCLASS2","LAC50","HILL","INF","ZERO","MAXR","NPT","FAUC","TAUC","DATA0","DATA1","DATA2","DATA3","DATA4","DATA5","DATA6","DATA7","DATA8","DATA9","DATA10","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","name","target","smi"
"s-tum-LineD_4-x1-1","activity","CX0030",4,-2.1,-5.1292094394,1.4787409999,-8.401583194,127.7791154484,1.03359405,11,498.6054948015,501.549177349017,118.9733096,129.70186627,123.36714605,127.68667312,130.33547805,136.50753018,115.15950493,123.20657122,74.20965488,31.02008581,1.03359405,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-1","POLR2A",NA
"s-tum-LineD_4-x1-1","activity","CX0050",2.3,-2.2,-4.6292094394,1.21,19.509510156,112.359542116,36.1296225,11,497.3516852102,494.499697392106,119.23018422,111.92264138,112.35814565,119.83604354,104.96893683,115.8626678,109.73918009,92.16709331,98.43376807,93.45463331,36.1296225,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-2","JAK1",NA
"s-tum-LineD_4-x1-1","activity","CX0058",1.3,4,-7.4792094394,0.8999999999,129.80910116,115.30910116,122.78674489,11,600.0904232662,594.676349064417,113.30910116,119.9231094,118.85202731,118.03039754,127.98329258,123.76737317,132.12122644,126.7512526,134.82221873,126.08471797,122.78674489,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-3","PLK1",NA
"s-tum-LineD_4-x1-1","activity","CX0051",4,-1.1,-5.0292094394,4.5044702849,8.4550044519,123.33288593,9.36673367,11,508.4070939642,507.367884388799,123.33288593,124.71423728,127.4303881,123.06607551,109.79606547,129.99663214,133.2556175,114.23622772,115.29225411,19.25611197,9.36673367,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-4","ERN1",NA
"s-tum-LineD_4-x1-1","activity","CX0065",2.3,4,-5.2792094394,1.8851180601,131.6765422099,114.49356205,118.73492413,11,567.2144072363,560.008343882937,111.67654221,109.46427901,118.23183008,119.99293746,115.24565335,117.19960068,108.19072541,117.65614481,122.54978193,129.98610641,118.73492413,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-5","IDH1",NA
