"protocol","readout","SID","CCLASS","CCLASS2","LAC50","HILL","INF","ZERO","MAXR","NPT","FAUC","TAUC","DATA0","DATA1","DATA2","DATA3","DATA4","DATA5","DATA6","DATA7","DATA8","DATA9","DATA10","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","name","target","smi"
"s-tum-LineI_9-x1-1","activity","CX0030",2.1,-3,-4.4792094394,4.9549173134,6.13855193,151.8892095788,30.10207884,11,918.028545851139,699.216700410626,133.50724515,154.90230212,161.40182476,142.12694025,160.7078611,150.77156606,157.80113181,156.12427626,147.48938251,152.35987065,30.10207884,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-1","POLR2A",NA
"s-tum-LineI_9-x1-1","activity","CX0050",2.3,4,-4.4792094394,4.9549173134,87.88162078,110.19765808,91.60096033,11,703.111763943764,525.005816629378,97.69765808,122.09378017,118.42780779,105.90745437,107.45551561,110.36760794,106.14500129,117.0238762,107.8921796,110.39830414,91.60096033,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-2","JAK1",NA
"s-tum-LineI_9-x1-1","activity","CX0058",5,4,NA,NA,NA,NA,118.4510157,11,NA,614.540508438247,119.14958297,126.81760771,130.44185787,139.9971241,122.58797381,121.71570047,129.14646687,133.18287269,144.84704199,120.47992349,118.4510157,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-3","PLK1",NA
"s-tum-LineI_9-x1-1","activity","CX0051",1.3,-2.4,-4.9292094394,0.5,77.688613624,117.524616198,87.13509811,11,714.315674132142,524.198416288306,114.05578932,121.63429816,112.03933136,127.75856055,108.57232128,106.72129274,110.78866673,109.05279011,101.2279843,100.27794254,87.13509811,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-4","ERN1",NA
"s-tum-LineI_9-x1-1","activity","CX0065",1.1,-1.1,-5.8292094394,2.7202212143,56.3598083829,145.7219767738,31.76397039,11,782.58932310044,565.594441234479,150.01319151,154.37010571,138.87697541,143.62497402,151.23714723,130.06739223,144.99025104,89.78076451,57.33603686,84.25831086,31.76397039,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-5","IDH1",NA
