"protocol","readout","SID","CCLASS","CCLASS2","LAC50","HILL","INF","ZERO","MAXR","NPT","FAUC","TAUC","DATA0","DATA1","DATA2","DATA3","DATA4","DATA5","DATA6","DATA7","DATA8","DATA9","DATA10","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","name","target","smi"
"s-tum-LineF_6-x1-1","activity","CX0030",2.3,-2.2,-4.6792094394,1.331,29.5010824361,129.441621171,51.98680105,11,574.4010349407,569.968548336012,138.47033418,107.96069919,125.70817606,137.49977347,132.07542119,142.27393114,128.63039964,112.15383189,119.13596745,93.9316438,51.98680105,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-1","POLR2A",NA
"s-tum-LineF_6-x1-1","activity","CX0050",4,-2.1,-4.8792094394,1.692447691,-5.9618733785,134.7644014216,7.47957534,11,561.8436063371,563.013405704999,129.67456369,138.33455496,120.42221606,152.90351053,123.50862139,139.73384734,134.21507818,133.99149803,110.80796057,57.52668147,7.47957534,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-2","JAK1",NA
"s-tum-LineF_6-x1-1","activity","CX0058",2.3,-3,-5.0292094394,4.0949729863,67.182283188,104.3693095559,101.66302236,11,474.3970980032,481.548662704545,97.36729344,104.7113069,101.65448359,94.39129744,105.0271735,121.42346741,109.60067612,99.93091179,101.64130331,71.38314509,101.66302236,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-3","PLK1",NA
"s-tum-LineF_6-x1-1","activity","CX0051",4,-1.1,-5.8792094394,1.372261,-1.9119298297,127.3897880446,2.17755236,11,407.9239524221,407.010674420263,129.97387079,123.03866653,131.38168963,124.51589604,129.15456576,120.23889716,90.36536742,56.14304715,8.16813264,3.97243435,2.17755236,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-4","ERN1",NA
"s-tum-LineF_6-x1-1","activity","CX0065",2.3,-3,-4.6792094394,1.372261,62.968322646,98.770998678,66.5931632,11,457.8271755378,458.771517373132,84.71736597,84.89580716,108.92157197,101.76259236,120.28404792,81.29518598,109.43351338,106.13357714,79.75217935,93.40653575,66.5931632,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cx-5","IDH1",NA
